pop	center	assay	sample	condition	run
Bcell	SRA	RNAseq	Norm_1	control	SRX18496501
Bcell	SRA	RNAseq	Norm_2	control	SRX18496502
Bcell	SRA	RNAseq	Norm_3	control	SRX18496503
Bcell	SRA	RNAseq	Norm_4	control	SRX18496504
Bcell	SRA	RNAseq	Norm_5	control	SRX18496505
Bcell	SRA	RNAseq	Norm_6	control	SRX18496506
Bcell	SRA	RNAseq	Norm_7	control	SRX18496507
Bcell	SRA	RNAseq	Norm_8	control	SRX18496508
Bcell	SRA	RNAseq	Norm_9	control	SRX18496509
Bcell	SRA	RNAseq	Norm_10	control	SRX18496510
Bcell	SRA	RNAseq	Norm_11	control	SRX18496511
Bcell	SRA	RNAseq	Norm_12	control	SRX18496512
Bcell	SRA	RNAseq	Norm_13	control	SRX18496513
Bcell	SRA	RNAseq	Norm_14	control	SRX18496514
Bcell	SRA	RNAseq	Norm_15	control	SRX18496515
Bcell	SRA	RNAseq	Norm_16	control	SRX18496516
Bcell	SRA	RNAseq	Norm_17	control	SRX18496517
Bcell	SRA	RNAseq	Norm_18	control	SRX18496518
Bcell	SRA	RNAseq	Norm_19	control	SRX18496519
Bcell	SRA	RNAseq	Norm_20	control	SRX18496520
Bcell	SRA	RNAseq	Norm_21	control	SRX18496521
Bcell	SRA	RNAseq	Norm_22	control	SRX18496522
Bcell	SRA	RNAseq	Norm_23	control	SRX18496523
Bcell	SRA	RNAseq	Norm_24	control	SRX18496524
Bcell	SRA	RNAseq	Norm_25	control	SRX18496525
Bcell	SRA	RNAseq	Norm_26	control	SRX18496526
Bcell	SRA	RNAseq	Norm_27	control	SRX18496527
Bcell	SRA	RNAseq	Norm_28	control	SRX18496528
Bcell	SRA	RNAseq	Norm_29	control	SRX18496529
Bcell	SRA	RNAseq	Norm_30	control	SRX18496530
Bcell	SRA	RNAseq	Norm_31	control	SRX18496531
Bcell	SRA	RNAseq	Norm_32	control	SRX18496532
Bcell	SRA	RNAseq	Norm_33	control	SRX18496533
Bcell	SRA	RNAseq	Norm_34	control	SRX18496534
Bcell	SRA	RNAseq	Norm_35	control	SRX18496535
